CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 25037
NOMBRE    : GUAMUCHIL (AARSP)
ESTADO    : SINALOA
MUNICIPIO : SALVADOR ALVARADO
SITUACI�N : OPERANDO
ORGANISMO : CAADES
CVE-OMM   : Nulo
LATITUD   : 025.469�
LONGITUD  : -108.092�
ALTITUD   : 44 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
01/01/2010  0      4.2    29     11.5 
02/01/2010  0      3.6    28     11.5 
03/01/2010  0      4.7    29.5   14.5 
04/01/2010  0      3.8    30     11 
05/01/2010  0      3.8    29.5   13.5 
06/01/2010  0      4.6    28.5   12 
07/01/2010  0      5.1    28     13 
08/01/2010  0      4      28     13 
09/01/2010  0      4.3    31     14.5 
10/01/2010  0      5.2    30     14 
11/01/2010  0      4.7    28.5   13.5 
12/01/2010  0      4.3    29     11.5 
13/01/2010  0      4.8    29     12.5 
14/01/2010  0      4.9    27     12.5 
15/01/2010  0      4.3    27.5   12.5 
16/01/2010  0      5.4    28     12.5 
17/01/2010  0      5.6    29     13 
18/01/2010  0      4.3    28     12.5 
19/01/2010  0      5.4    28.5   13.5 
20/01/2010  0      3.4    26.5   13 
21/01/2010  0      4      26.5   13 
22/01/2010  1.2    5.6    28     13.5 
23/01/2010  0      3.2    25     17 
24/01/2010  0      5.1    26.5   11 
25/01/2010  0      4.3    27.5   10.5 
26/01/2010  0      3.6    27     10 
27/01/2010  1      2.2    25.5   17 
28/01/2010  0      4.1    25.5   17 
29/01/2010  0      4.7    26     13 
30/01/2010  0      3.3    25.5   10 
31/01/2010  0      4.4    27.5   13.5 
01/02/2010  0      4.3    28     17.5 
02/02/2010  12.6   2.5    21.5   16 
03/02/2010  0.2    2.9    22.5   15 
04/02/2010  0      4.2    25     14 
05/02/2010  0      4.3    27     13 
06/02/2010  0      3.3    27.5   11 
07/02/2010  0      5.5    27     12 
08/02/2010  0      5.1    26     12.5 
09/02/2010  0.4    3.5    24     13 
10/02/2010  0.4    1.1    23.5   15 
11/02/2010  0      6.6    23     12.5 
12/02/2010  0      5.4    27.5   10 
13/02/2010  0      4.2    27     13.5 
14/02/2010  0      5      27     15 
15/02/2010  0      6.6    29.5   13 
16/02/2010  0      6.1    28     15 
17/02/2010  0      6.2    29.5   14 
18/02/2010  2.5    5.3    29     17.5 
19/02/2010  0      5.3    27     15 
20/02/2010  0      6.7    28     14 
21/02/2010  0      5.8    27     14 
22/02/2010  0      5.3    26     11.5 
23/02/2010  0      6.4    25.5   11 
24/02/2010  0      7.7    29     10.5 
25/02/2010  0      6.2    29.5   10 
26/02/2010  0      6.8    29.5   13 
27/02/2010  0      5.6    30     13 
28/02/2010  0      5.3    26.5   13.5 
01/03/2010  0      5.8    27     13 
02/03/2010  0      6.3    28.5   14 
03/03/2010  0      6      29     13 
04/03/2010  0      6.3    28.5   15 
05/03/2010  0      4.4    28     15.5 
06/03/2010  2      4.1    26     18.5 
07/03/2010  0      4.8    26.5   17.5 
08/03/2010  0      7.7    28.5   14.5 
09/03/2010  0      8.1    28.5   11 
10/03/2010  0      6.7    26     10 
11/03/2010  0      8.6    27     10 
12/03/2010  0      8.3    28     11 
13/03/2010  0      7.5    28.5   10.5 
14/03/2010  0      6.8    27     14 
15/03/2010  0      7.6    30     12 
16/03/2010  0      8.9    32     14 
17/03/2010  0      9.6    34     14 
18/03/2010  0      8.4    30     15 
19/03/2010  0      7.5    30     14 
20/03/2010  0      7.2    29.5   13.5 
21/03/2010  0      8.1    31     13 
22/03/2010  0      7.7    30     15 
23/03/2010  0      7.7    30     14 
24/03/2010  0      7.6    30     13 
25/03/2010  0      10.9   31     13 
26/03/2010  0      10.4   33     15 
27/03/2010  0      10.2   32.5   15 
28/03/2010  0      9.4    33     13.5 
29/03/2010  0      10     32.5   13 
30/03/2010  0      9.2    32     15.5 
31/03/2010  0      8.9    31     16 
01/04/2010  0      7.7    30     14.5 
02/04/2010  0      8.5    30     14.5 
03/04/2010  0      8.9    32     13 
04/04/2010  0      8.4    32     12 
05/04/2010  0      10     33     13 
06/04/2010  0      9.5    33     15 
07/04/2010  0      9.3    33     14.5 
08/04/2010  0      7.6    32     14 
09/04/2010  0      7.8    31     16.5 
10/04/2010  0      10.1   30.5   17 
11/04/2010  0      9.8    31.5   18.5 
12/04/2010  0      10.3   32.5   18 
13/04/2010  0      10.7   32     16.5 
14/04/2010  0      9.7    30.5   16 
15/04/2010  0      10.3   31     15 
16/04/2010  0      9.1    31     15 
17/04/2010  0      8.8    30     17 
18/04/2010  0      11.2   29.5   18 
19/04/2010  0      8.3    30     20 
20/04/2010  0      8.2    30     20 
21/04/2010  0      8.6    30     17.5 
22/04/2010  0      7.8    27.5   17.5 
23/04/2010  0      8.6    27     15.5 
24/04/2010  0      7.9    30     14 
25/04/2010  0      8.6    31.5   15 
26/04/2010  0      7.9    31     15 
27/04/2010  0      10.3   30.5   17.5 
28/04/2010  0      11.7   30     17 
29/04/2010  0      9.1    29.5   15 
30/04/2010  1.1    9.8    29     18.5 
01/05/2010  0      9      26.5   17 
02/05/2010  0      9.1    29     13.5 
03/05/2010  0      10.5   33     15 
04/05/2010  0      11.5   35     14 
05/05/2010  0      11     34     16 
06/05/2010  0      11.6   34     18 
07/05/2010  0      11.1   36     19 
08/05/2010  0      9.7    35.5   19 
09/05/2010  0      11.3   36     19 
10/05/2010  0      10.4   36     20 
11/05/2010  0      12.6   38     18 
12/05/2010  0      11.6   36.5   17 
13/05/2010  0      12.4   36.5   15.5 
14/05/2010  0      12.4   35     17 
15/05/2010  0      12.4   37.5   18 
16/05/2010  0      12.1   38.5   19 
17/05/2010  0      10.8   36.5   19 
18/05/2010  0      12.7   38.5   20.5 
19/05/2010  0      11.9   39     17 
20/05/2010  0      11.1   37     18.5 
21/05/2010  0      12.9   37     19 
22/05/2010  0      13.1   36     20 
23/05/2010  0      11.2   34     19 
24/05/2010  0      11.3   33     19 
25/05/2010  0      12.5   36     16 
26/05/2010  0      12.9   33.5   17 
27/05/2010  0      12.9   35     17.5 
28/05/2010  0      12.4   35     20 
29/05/2010  0      10.2   33     21 
30/05/2010  0      11.1   33     21 
31/05/2010  0      10.1   34     22 
01/06/2010  0      11.1   34     22 
